chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,predictedClass,predictedConfidence,binnedConfidence
Ethereum,sushiswap,WETH-COTI,17997,3.42222,0,3.42222,,06c825e3-e133-4b3e-ba36-f21ea7b6ad02,-73.13147,-12.74538,-38.70223,false,yes,multi,,27.91988,3.42204,358,true,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xddb3422497e61e13543bea06989c0789117555c5",-0.00863,14.50154,1266.64964,562.45709,16729.60118,,Stable/Up,55.00000000000001,1
Optimism,velodrome,ALETH-WETH,17997,,0.00008,0.00008,0x3c8B650257cFb5f272f799F5e2b4e65093a11a05,81072bb8-5a5b-4e92-bc48-dd6093ab9b5d,0,,,false,no,multi,,0.00002,0,42,false,"0x3e29d3a9316dab217754d13b28646b76607c5f04,0x4200000000000000000000000000000000000006",-0.00066,,0.00025,,,,Down,68,2
Aurora,trisolaris,ATUST-NEAR,17989,,0,0,0xFa94348467f64D5A457F75F8bc40495D33c65aBB,8e6476e5-02bb-457f-9fe1-ae59d812c37a,0,0,0,false,yes,multi,,0,0,230,false,"0x5ce9F0B6AFb36135b5ddBF11705cEB65E634A9dC,0xC42C30aC6Cc15faC9bD938618BcaA1a1FaE8501d",-0.01637,,0,,,,,,
Polygon,vesper,MATIC,17968,0.28,0,0.28,,cd314046-2c19-4883-8d8b-54098916c950,0.01,-0.02,-0.45,false,no,single,Conservative,1.56739,0.09018,313,false,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,,0.32,0.52871,,,,Down,52,1
Ethereum,curve,ALETH-FRXETH,17939,0,0,0,,7619ddc5-29c3-4d65-b15e-9fb7abf0da88,0,0,0,false,no,multi,,0.03102,0.00662,69,false,"0x0100546F2cD4C9D97f798fFC9755E47865FF7Ee6,0x5E8422345238F34275888049021821E8E08CAa1f",,,0.00147,,,,,,
Solana,raydium,PEPE-USDC,17923,12.82,,12.82,,225346d3-cc03-451e-ba49-fbdb43d398aa,2.98,8.39,-23.51,false,yes,multi,,99.93627,3.88777,57,true,,,,42.23486,,,,Down,66,2
Ethereum,sushiswap,XI-USDT,17916,0,0,0,,f1a0b6ed-83f4-4cd3-a4fd-ebf574738cb5,0,0,0,false,yes,multi,,0.09624,0.01494,358,false,"0x71b6296174c5f07d37cafd6e9b72ab5bb3f14fac,0xdac17f958d2ee523a2206206994597c13d831ec7",,0.08597,0.08191,,98.73905,,,,
Solana,raydium,CREAMY-USDC,17911,0,,0,,c55ae24f-45ce-4654-869f-6acd82acd1f3,0,0,0,false,yes,multi,,0.51159,0.23798,215,false,,,,0.00761,,,,,,
Solana,orca,WHETH-USDC,17889,27.71133,,27.71133,,e55492eb-7b5d-4669-8a8e-819aa0bc3760,-10.74894,-0.0831,2.11178,false,yes,multi,Whirlpool,24.26881,0.65535,42,false,"7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v",,31.62695,21.70548,4472.74008,35565.25012,,Down,57.99999999999999,1
BSC,apeswap-amm,NEAR-WBNB,17887,0.5706,2.70552,3.27612,0x603c7f932ED1fc6575303D8Fb018fDCBb0f39a95,4fd6fdd2-fb1a-48d7-a985-108502ef4216,,0.27796,-8.2822,false,yes,multi,,4.91056,0.1104,190,false,"0x1Fa4a73a3F0133f0025378af00236f3aBDEE5D63,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c",-0.00162,,4.47061,,,,Down,53,1
